,Revenue,Company Name,parsed_sector,states,parsed_type_of_ownership,Industry,parsed_job_title,parsed_founded,Rating,description_length,Size,per_hour_salary_jobs,fixed_salary_jobs,average_salary
1642,$10+ billion (USD),Leidos,Information Technology,VA,Company - Public,IT Services,junior natural language processing data scientist,1981.0,3.4,1011,10000+ Employees,0,1,37000.0
1643,$500 million to $1 billion (USD),"Vizient, Inc.",Health Care,IL,Company - Private,Health Care Services & Hospitals,"director, strategic analytics-sg2",1977.0,,847,1001 to 5000 Employees,0,1,37000.0
1644,$500 million to $1 billion (USD),Wavicle Data Solutions,Health Care,TN,Company - Private,Health Care Services & Hospitals,data engineer architect ( talend),1977.0,4.1,966,1001 to 5000 Employees,0,1,37000.0
1645,Unknown / Non-Applicable,Flexential,Information Technology,PA,Company - Private,Enterprise Software & Network Solutions,senior marketing analytics manager,2018.0,3.2,277,501 to 1000 Employees,0,1,37000.0
1646,$10+ billion (USD),Deloitte,Accounting & Legal,OH,Company - Private,Accounting,"azure cloud enablement - analytics & cognitive, manager",1850.0,3.2,1062,10000+ Employees,0,1,37000.0
1647,$10+ billion (USD),Blue Cypress Consulting,Accounting & Legal,GA,Company - Private,Accounting,civil/environmental engineer,1850.0,3.9,744,10000+ Employees,0,1,37000.0
1648,$100 to $500 million (USD),C3 AI,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,"software engineer, platform security",2009.0,4.5,1004,501 to 1000 Employees,0,1,37000.0
1649,$1 to $5 million (USD),Blue Cypress Consulting,Business Services,GA,Company - Private,Consulting,utilities asset management analyst,2013.0,5.0,3,1 to 50 Employees,0,1,37000.0
1650,$100 to $500 million (USD),C3 AI,Information Technology,CA,Company - Public,Enterprise Software & Network Solutions,"senior software engineer, front-end",2009.0,4.5,1177,501 to 1000 Employees,0,1,37000.0
1651,$100 to $500 million (USD),Hyphen,Information Technology,Remote,Company - Public,Enterprise Software & Network Solutions,senior data scientist [wfh],2009.0,4.5,954,501 to 1000 Employees,0,1,37000.0
1652,$10+ billion (USD),BMO Harris Bank,Aerospace & Defense,IL,Company - Public,Aerospace & Defense,regulatory reporting senior data analyst,1969.0,3.9,802,10000+ Employees,0,1,37000.0
1653,$10+ billion (USD),Biz2Credit Inc,Aerospace & Defense,NY,Company - Public,Aerospace & Defense,marketing product manager,1969.0,3.9,802,10000+ Employees,0,1,37000.0
1654,$50 to $100 million (USD),"ADNET Systems, Inc.",Information Technology,MD,Company - Private,IT Services,es198 earth science data specialist,1990.0,3.9,663,201 to 500 Employees,0,1,37000.0
1655,$100 to $500 million (USD),Natus Medical Incorporated,Manufacturing,IL,Company - Public,Health Care Products Manufacturing,senior software engineer (research and advanced development),1989.0,2.9,984,1001 to 5000 Employees,0,1,37000.0
1656,$10+ billion (USD),Leidos,Aerospace & Defense,FL,Company - Public,Aerospace & Defense,scientific programming and machine learning engineer,1969.0,3.9,635,10000+ Employees,0,1,37000.0
1657,$10 to $25 million (USD),Giving Assistant,Business Services,Remote,Company - Private,Advertising & Marketing,senior data scientist,2014.0,3.9,1450,,0,1,37000.0
1658,$10 to $25 million (USD),CloudMedx,Business Services,CA,Company - Private,Advertising & Marketing,machine learning engineer,2014.0,3.9,993,1 to 50 Employees,0,1,37000.0
