,Revenue,Company Name,parsed_sector,states,parsed_type_of_ownership,Industry,parsed_job_title,parsed_founded,Rating,description_length,Size,per_hour_salary_jobs,fixed_salary_jobs,average_salary
0,,Facebook,Unknown / Non-Applicable,Remote,IT Services,Information Technology,"data scientist, analytics-remote presence",,4.5,501,501 to 1000 Employees,0,1,60000.0
1,$10+ billion (USD),Pacific Northwest National Laboratory,Retail,WA,Subsidiary or Business Segment,General Merchandise & Superstores,data scientist,1983.0,3.3,914,10000+ Employees,0,1,118000.0
2,Unknown / Non-Applicable,Juno College of Technology,Government,Remote,Government,Federal Agencies,"part-time content creator, data",1862.0,3.7,633,10000+ Employees,0,1,141000.0
3,Unknown / Non-Applicable,Facebook,Education,Remote,School / School District,Education Training Services,"data engineer, product analytics",2012.0,3.8,1122,1 to 50 Employees,1,0,199680.0
4,$10+ billion (USD),KesarWeb,Retail,LA,Company - Public,General Merchandise & Superstores,junior data scientist,1994.0,3.3,977,10000+ Employees,0,1,90000.0
5,$10+ billion (USD),Toyota,Manufacturing,TX,Company - Public,Transportation Equipment Manufacturing,junior data scientist,1957.0,3.9,853,10000+ Employees,1,0,140400.0
6,$10+ billion (USD),TransUnion,Manufacturing,OR,Company - Public,Transportation Equipment Manufacturing,data engineer,1957.0,3.9,853,10000+ Employees,1,0,140400.0
7,$1 to $2 billion (USD),Identical Soft,Finance,WA,Company - Public,Financial Analytics & Research,data scientist,1968.0,4.0,828,5001 to 10000 Employees,1,0,140400.0
8,Unknown / Non-Applicable,Microsoft,Information Technology,WA,Company - Private,Enterprise Software & Network Solutions,data & applied scientist,2013.0,4.5,554,51 to 200 Employees,1,0,140400.0
9,$10+ billion (USD),Allstate,Information Technology,IL,Company - Public,Computer Hardware & Software,avail - staff data scientist (remote home based worker),1975.0,4.4,810,10000+ Employees,1,0,140400.0
10,$10+ billion (USD),Interview Query,Insurance,Remote,Company - Public,Insurance Agencies & Brokerages,data science content developer,1931.0,3.5,760,10000+ Employees,1,0,140400.0
11,$10+ billion (USD),Ovintiv,Information Technology,TX,Company - Public,Internet,data analytics engineer,1998.0,4.5,1007,10000+ Employees,1,0,140400.0
12,Unknown / Non-Applicable,Microsoft,"Oil, Gas, Energy & Utilities",,Company - Public,Oil & Gas Exploration & Production,content developer 1,2002.0,3.3,679,1001 to 5000 Employees,1,0,140400.0
13,$10+ billion (USD),Pivosys Inc.,Information Technology,CA,Company - Public,Computer Hardware & Software,python developer -with data science experience,1975.0,4.4,840,10000+ Employees,1,0,140400.0
14,$500 million to $1 billion (USD),Envision,"Oil, Gas, Energy & Utilities",CA,Government,Energy,data scientist with statistics focus – entry level,1965.0,4.1,681,1001 to 5000 Employees,1,0,140400.0
15,$10+ billion (USD),Netflix,Information Technology,CA,Company - Public,Internet,"manager, studio production data science and engineering",1994.0,3.8,3130,10000+ Employees,1,0,140400.0
16,$5 to $10 billion (USD),Specific Diagnostics,Information Technology,CA,Company - Public,Internet,data scientist/data analysis,1997.0,4.2,991,5001 to 10000 Employees,1,0,140400.0
17,Unknown / Non-Applicable,Microsoft,Government,WA,Government,State & Regional Agencies,data scientist ii,1796.0,3.6,264,10000+ Employees,1,0,140400.0
18,$10+ billion (USD),Arizona State University,Information Technology,AZ,Company - Public,Computer Hardware & Software,director of data science,1975.0,4.4,1131,10000+ Employees,1,0,140400.0
19,$1 to $2 billion (USD),Amgenium LLC,Education,CA,College / University,Colleges & Universities,data engineer,1885.0,4.3,1081,5001 to 10000 Employees,1,0,140400.0
20,$10+ billion (USD),Spotify,Biotech & Pharmaceuticals,NY,Company - Public,Biotech & Pharmaceuticals,"machine learning research scientist, algorithmic impact & responsibility",1891.0,4.2,938,10000+ Employees,1,0,140400.0
21,Unknown / Non-Applicable,Applied Information Sciences,Information Technology,VA,Company - Public,Internet,data engineer,2006.0,4.2,988,5001 to 10000 Employees,1,0,140400.0
22,$50 to $100 million (USD),State of Tennessee,Information Technology,TN,Company - Private,IT Services,chief data and analytics officer-20237,1982.0,4.4,912,201 to 500 Employees,1,0,140400.0
23,Unknown / Non-Applicable,US Internal Revenue Service,Government,VI,Government,State & Regional Agencies,statistician (data scientist),1796.0,3.6,245,10000+ Employees,1,0,140400.0
24,Unknown / Non-Applicable,Pacific Northwest National Laboratory,Government,WA,Government,Federal Agencies,mathematician,1862.0,3.7,380,10000+ Employees,1,0,140400.0
25,$500 million to $1 billion (USD),AT&T,"Oil, Gas, Energy & Utilities",OR,Government,Energy,data scientist,1965.0,4.1,909,1001 to 5000 Employees,1,0,140400.0
26,$10+ billion (USD),Toyota Connected North America,Telecommunications,TX,Company - Public,Telecommunications Services,data scientist,1983.0,3.6,2105,10000+ Employees,1,0,140400.0
27,Unknown / Non-Applicable,Indeed,Information Technology,WA,Company - Private,IT Services,staff data scientist - ai ethics,2016.0,3.4,1019,51 to 200 Employees,1,0,140400.0
28,$2 to $5 billion (USD),Medtronic,Information Technology,CA,Company - Private,Internet,senior data science and signals engineer,2004.0,4.3,1319,10000+ Employees,1,0,140400.0
29,$10+ billion (USD),Microsoft,Biotech & Pharmaceuticals,,Company - Public,Biotech & Pharmaceuticals,content developer 1,1949.0,4.1,1732,10000+ Employees,1,0,110240.0
30,$10+ billion (USD),Tech True Up,Information Technology,Remote,Company - Public,Computer Hardware & Software,data scientist,1975.0,4.4,840,10000+ Employees,1,0,110240.0
31,$10+ billion (USD),Amgenium LLC,Insurance,CA,Company - Public,Insurance Agencies & Brokerages,data engineer,1931.0,3.5,760,10000+ Employees,1,0,110240.0
32,Unknown / Non-Applicable,Google,Information Technology,CA,Company - Private,Enterprise Software & Network Solutions,"quantum hardware test engineer, quantum ai",2013.0,4.5,554,51 to 200 Employees,1,0,110240.0
33,$10+ billion (USD),First Soft Solutions [ Direct],Information Technology,TX,Company - Public,Internet,azure data engineer,1998.0,4.5,1007,10000+ Employees,1,0,110240.0
34,$10 to $25 million (USD),Microsoft,Accounting & Legal,WA,Company - Private,Accounting,data & applied scientist,2006.0,3.2,448,51 to 200 Employees,1,0,110240.0
35,$10+ billion (USD),Spotify,Information Technology,NY,Company - Public,Computer Hardware & Software,"machine learning research scientist, algorithmic impact & responsibility",1975.0,4.4,810,10000+ Employees,1,0,110240.0
36,Unknown / Non-Applicable,Procter & Gamble,Information Technology,OH,Company - Public,Internet,data scientist masters,2006.0,4.2,988,5001 to 10000 Employees,1,0,110240.0
37,$10+ billion (USD),Indeed,Manufacturing,WA,Company - Public,Consumer Products Manufacturing,staff data scientist - ai ethics,1837.0,4.2,1240,10000+ Employees,1,0,110240.0
38,$2 to $5 billion (USD),"LockerDome, Inc.",Information Technology,Remote,Company - Private,Internet,"data scientist, ml r&d",2004.0,4.3,1319,10000+ Employees,1,0,110240.0
39,Unknown / Non-Applicable,State of Tennessee,Information Technology,TN,Company - Private,Internet,data analytics statistical research specialist-20197,2008.0,3.8,809,51 to 200 Employees,1,0,110240.0
40,Unknown / Non-Applicable,Facebook,Government,NY,Government,State & Regional Agencies,"data scientist, analytics (phd)",1796.0,3.6,264,10000+ Employees,1,0,110240.0
41,$10+ billion (USD),Goldman Sachs,Information Technology,NY,Company - Public,Internet,associate - engg5242699,2004.0,4.3,1134,10000+ Employees,1,0,110240.0
42,$10+ billion (USD),veritis group inc,Finance,TX,Company - Public,Investment Banking & Asset Management,data scientist,1869.0,4.0,4496,10000+ Employees,1,0,110240.0
43,$10+ billion (USD),Salesforce,Information Technology,MA,Company - Private,Computer Hardware & Software,fall 2021 co-op - data and automation analyst,1984.0,4.3,4414,10000+ Employees,1,0,110240.0
44,$10+ billion (USD),Spotify,Information Technology,NY,Company - Public,Computer Hardware & Software,"senior data scientist, advertising",1999.0,4.4,700,10000+ Employees,1,0,110240.0
45,Unknown / Non-Applicable,Microsoft,Information Technology,WA,Company - Public,Internet,data scientist ii,2006.0,4.2,707,5001 to 10000 Employees,1,0,110240.0
46,$10+ billion (USD),RapiSource LLC,Information Technology,TX,Company - Public,Computer Hardware & Software,senior big data engineer,1975.0,4.4,1131,10000+ Employees,1,0,110240.0
47,$10+ billion (USD),Toyota Connected North America,Manufacturing,TX,Company - Public,Consumer Products Manufacturing,data scientist,1837.0,4.2,693,10000+ Employees,1,0,110240.0
48,Unknown / Non-Applicable,Applied Information Sciences,Information Technology,VA,Company - Private,IT Services,data engineer,2016.0,3.4,1019,51 to 200 Employees,1,0,110240.0
49,$50 to $100 million (USD),Vastek Inc.,Information Technology,TX,Company - Private,IT Services,data scientist,1982.0,4.4,912,201 to 500 Employees,1,0,110240.0
50,$10+ billion (USD),Amgenium LLC,Information Technology,CA,Company - Public,Computer Hardware & Software,data engineer,1975.0,4.4,840,10000+ Employees,1,0,219440.0
51,$10+ billion (USD),Google,Insurance,CA,Company - Public,Insurance Agencies & Brokerages,"quantum hardware test engineer, quantum ai",1931.0,3.5,760,10000+ Employees,1,0,219440.0
52,$10+ billion (USD),Teladoc Health,Information Technology,CO,Company - Public,Internet,data engineer,1998.0,4.5,1007,10000+ Employees,1,0,219440.0
53,$100 to $500 million (USD),Microsoft,Health Care,WA,Company - Public,Health Care Services & Hospitals,data engineer,2002.0,4.0,877,1001 to 5000 Employees,1,0,219440.0
54,$10+ billion (USD),Microsoft,Information Technology,WA,Company - Public,Computer Hardware & Software,data & applied scientist,1975.0,4.4,1368,10000+ Employees,1,0,219440.0
55,$10+ billion (USD),Procter & Gamble,Information Technology,OH,Company - Public,Computer Hardware & Software,data scientist masters,1975.0,4.4,810,10000+ Employees,1,0,219440.0
56,$10+ billion (USD),Halo Solutions,Manufacturing,Remote,Company - Public,Consumer Products Manufacturing,data scientist,1837.0,4.2,1240,10000+ Employees,1,0,219440.0
57,$10+ billion (USD),PRA Health Sciences,Information Technology,Remote,Company - Private,Computer Hardware & Software,statistical programmer 1,1984.0,4.3,4414,10000+ Employees,1,0,219440.0
58,$2 to $5 billion (USD),IBM,Biotech & Pharmaceuticals,DC,Company - Public,Biotech & Pharmaceuticals,data engineer,1976.0,4.1,640,10000+ Employees,1,0,219440.0
59,$10+ billion (USD),State of Tennessee,Information Technology,TN,Company - Public,IT Services,data analytics statistical research specialist-20197,1911.0,3.9,4697,10000+ Employees,1,0,219440.0
60,Unknown / Non-Applicable,Applied Information Sciences,Government,VA,Government,State & Regional Agencies,data engineer,1796.0,3.6,264,10000+ Employees,1,0,219440.0
61,$50 to $100 million (USD),Procter & Gamble,Information Technology,OH,Company - Private,IT Services,data scientist phd,1982.0,4.4,912,201 to 500 Employees,1,0,219440.0
62,$10+ billion (USD),Spotify,Manufacturing,NY,Company - Public,Consumer Products Manufacturing,"senior data scientist, advertising",1837.0,4.2,693,10000+ Employees,1,0,219440.0
63,Unknown / Non-Applicable,Infoorigin inc,Information Technology,ME,Company - Public,Internet,"1398-python developer-machine learning, new york, ny",2006.0,4.2,707,5001 to 10000 Employees,1,0,219440.0
64,,Data Patterns,Unknown / Non-Applicable,CA,Computer Hardware & Software,Information Technology,data engineer,,4.3,1095,51 to 200 Employees,1,0,219440.0
65,,Facebook,,Remote,IT Services,Information Technology,applied research scientist (university grad),,3.3,570,51 to 200 Employees,1,0,219440.0
66,$10+ billion (USD),Deep Labs,Information Technology,NY,Company - Public,Internet,data engineer,2004.0,4.3,1057,10000+ Employees,1,0,219440.0
67,Unknown / Non-Applicable,Nauto,Information Technology,CA,Company - Private,Computer Hardware & Software,data science,2015.0,3.7,977,1 to 50 Employees,1,0,219440.0
68,Unknown / Non-Applicable,Journey Foods,Information Technology,TX,Company - Private,Computer Hardware & Software,data scientist,2015.0,4.1,868,51 to 200 Employees,1,0,219440.0
69,$500 million to $1 billion (USD),Goldman Sachs,"Oil, Gas, Energy & Utilities",NY,Government,Energy,associate - engg5242699,1965.0,4.1,909,1001 to 5000 Employees,1,0,219440.0
70,$10+ billion (USD),Salesforce,Finance,MA,Company - Public,Investment Banking & Asset Management,fall 2021 co-op - data and automation analyst,1869.0,4.0,4496,10000+ Employees,1,0,219440.0
71,$10+ billion (USD),Albertsons Companies,Information Technology,CA,Company - Public,Computer Hardware & Software,payment data scientist,1999.0,4.4,700,10000+ Employees,1,0,219440.0
72,$10+ billion (USD),BridgeBio,Retail,Remote,Company - Public,Grocery Stores & Supermarkets,data engineer/data science engineer,1939.0,3.4,1001,10000+ Employees,1,0,219440.0
73,Unknown / Non-Applicable,Deloitte,Biotech & Pharmaceuticals,CA,Company - Public,Biotech & Pharmaceuticals,ai engineer - hux,2015.0,4.2,1296,201 to 500 Employees,1,0,219440.0
74,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,content developer 1,1975.0,4.4,840,10000+ Employees,1,0,219440.0
75,$10+ billion (USD),Urbane Systems LLC,Information Technology,Remote,Company - Public,Computer Hardware & Software,data engineer,1975.0,4.4,840,10000+ Employees,1,0,219440.0
76,$10+ billion (USD),Cisco Systems,Manufacturing,CA,Company - Public,Consumer Products Manufacturing,data visualization engineer,1837.0,4.2,1240,10000+ Employees,1,0,219440.0
77,$10+ billion (USD),Google,Information Technology,CA,Company - Private,Computer Hardware & Software,"quantum hardware test engineer, quantum ai",1984.0,4.3,4414,10000+ Employees,1,0,219440.0
78,$10+ billion (USD),Teladoc Health,Information Technology,CO,Company - Public,Internet,data engineer,1998.0,4.5,1007,10000+ Employees,1,0,219440.0
79,$100 to $500 million (USD),Procter & Gamble,Health Care,OH,Company - Public,Health Care Services & Hospitals,data scientist phd,2002.0,4.0,877,1001 to 5000 Employees,1,0,219440.0
80,$10+ billion (USD),Amgenium LLC,Manufacturing,CA,Company - Public,Consumer Products Manufacturing,data engineer,1837.0,4.2,693,10000+ Employees,1,0,219440.0
81,$10+ billion (USD),Microsoft,Information Technology,WA,Company - Public,Computer Hardware & Software,data engineer,1975.0,4.4,1343,10000+ Employees,1,0,219440.0
82,$10+ billion (USD),Facebook,Information Technology,Remote,Company - Public,Computer Hardware & Software,applied research scientist (university grad),1975.0,4.4,1368,10000+ Employees,1,0,219440.0
83,$10+ billion (USD),The New York Times,Information Technology,NY,Company - Public,Internet,data scientist (algorithmic targeting),2004.0,4.3,1057,10000+ Employees,1,0,219440.0
84,$10+ billion (USD),Journey Foods,Retail,TX,Company - Public,Grocery Stores & Supermarkets,data scientist,1939.0,3.4,1001,10000+ Employees,1,0,219440.0
85,$500 million to $1 billion (USD),Indeed,"Oil, Gas, Energy & Utilities",CA,Government,Energy,senior data scientist - ads optimization,1965.0,4.1,909,1001 to 5000 Employees,1,0,219440.0
86,$10+ billion (USD),IBM,Information Technology,DC,Company - Public,IT Services,data engineer,1911.0,4.3,1519,10000+ Employees,1,0,219440.0
87,$10+ billion (USD),Toyota,Information Technology,TX,Company - Public,IT Services,data scientist,1911.0,3.9,4697,10000+ Employees,1,0,219440.0
88,$10+ billion (USD),PRA Health Sciences,Manufacturing,Remote,Company - Public,Transportation Equipment Manufacturing,statistical programmer 1,1957.0,3.9,832,10000+ Employees,1,0,219440.0
89,$2 to $5 billion (USD),Facebook,Biotech & Pharmaceuticals,NY,Company - Public,Biotech & Pharmaceuticals,"data scientist, analytics (phd)",1976.0,4.1,640,10000+ Employees,1,0,219440.0
90,$10+ billion (USD),APPIC Solutions LLC,Information Technology,CO,Company - Public,Internet,data engineer,2004.0,4.3,1134,10000+ Employees,1,0,219440.0
91,$10+ billion (USD),State of Tennessee,Finance,TN,Company - Public,Investment Banking & Asset Management,data analytics statistical research specialist-20197,1869.0,4.0,4496,10000+ Employees,1,0,219440.0
92,Unknown / Non-Applicable,TSC,Government,Remote,Government,State & Regional Agencies,senior data engineer,1796.0,3.6,264,10000+ Employees,1,0,219440.0
93,Unknown / Non-Applicable,"Insight Enterprises, Inc.",Information Technology,Remote,Company - Private,IT Services,assessment engineer (storage and data protection),2016.0,3.4,1019,51 to 200 Employees,1,0,219440.0
94,$5 to $10 billion (USD),Salesforce,Information Technology,MA,Company - Public,Enterprise Software & Network Solutions,fall 2021 co-op - data and automation analyst,1988.0,3.9,547,5001 to 10000 Employees,1,0,219440.0
95,$10+ billion (USD),Deloitte,Information Technology,CA,Company - Public,Computer Hardware & Software,ai engineer - hux,1999.0,4.4,700,10000+ Employees,1,0,219440.0
96,$10+ billion (USD),Microsoft,Accounting & Legal,,Company - Private,Accounting,content developer 1,1850.0,3.9,1085,10000+ Employees,0,1,115000.0
97,$10+ billion (USD),Procter & Gamble,Information Technology,OH,Company - Public,Computer Hardware & Software,data scientist masters,1975.0,4.4,840,10000+ Employees,0,1,115000.0
98,$10+ billion (USD),Cisco Systems,Manufacturing,CA,Company - Public,Consumer Products Manufacturing,data visualization engineer,1837.0,4.2,1240,10000+ Employees,0,1,115000.0
99,$10+ billion (USD),Microsoft,Information Technology,NC,Company - Private,Computer Hardware & Software,"customer engineer, data & ai",1984.0,4.3,4414,10000+ Employees,0,1,115000.0
100,$10+ billion (USD),Teladoc Health,Information Technology,CO,Company - Public,Computer Hardware & Software,data engineer,1975.0,4.4,1343,10000+ Employees,0,1,115000.0
101,$10+ billion (USD),Procter & Gamble,Manufacturing,OH,Company - Public,,data scientist phd,2002.0,4.0,877,1001 to 5000 Employees,0,1,115000.0
102,$10+ billion (USD),Ford Motor Company,Retail,MI,Company - Public,Grocery Stores & Supermarkets,gdia associate data engineer,1939.0,3.4,1001,10000+ Employees,0,1,115000.0
103,$10+ billion (USD),Facebook,Manufacturing,Remote,Company - Public,Transportation Equipment Manufacturing,applied research scientist (university grad),1903.0,4.1,892,10000+ Employees,0,1,115000.0
104,$10+ billion (USD),The New York Times,Information Technology,NY,Company - Public,Internet,data scientist (algorithmic targeting),2004.0,4.3,1057,10000+ Employees,0,1,115000.0
105,$2 to $5 billion (USD),Toyota Connected North America,Biotech & Pharmaceuticals,TX,Company - Public,Biotech & Pharmaceuticals,data scientist,1976.0,4.1,640,10000+ Employees,0,1,115000.0
106,Unknown / Non-Applicable,Ford Motor Company,Information Technology,MI,Company - Private,IT Services,gdia data engineer,2016.0,3.4,1019,51 to 200 Employees,0,1,115000.0
107,$10+ billion (USD),"LockerDome, Inc.",Manufacturing,Remote,Company - Public,Transportation Equipment Manufacturing,"data scientist, ml r&d",1903.0,4.1,905,10000+ Employees,0,1,115000.0
108,$5 to $10 billion (USD),"Insight Enterprises, Inc.",Information Technology,Remote,Company - Public,Enterprise Software & Network Solutions,assessment engineer (storage and data protection),2008.0,3.8,809,51 to 200 Employees,0,1,115000.0
109,$10+ billion (USD),Toyota,Manufacturing,TX,Company - Public,Transportation Equipment Manufacturing,data scientist,1988.0,3.9,547,5001 to 10000 Employees,0,1,115000.0
110,$10+ billion (USD),Facebook,Manufacturing,Remote,Company - Public,Transportation Equipment Manufacturing,"data engineer, analytics (product specialist)",1957.0,3.9,832,10000+ Employees,0,1,115000.0
111,$10+ billion (USD),Pit.AI Technologies Inc.,Information Technology,CA,Company - Public,Internet,mathematical scientist,2004.0,4.3,1237,10000+ Employees,0,1,115000.0
112,$10+ billion (USD),Pacific Northwest National Laboratory,Information Technology,WA,Company - Public,Computer Hardware & Software,mathematician,1975.0,4.4,1368,10000+ Employees,0,1,115000.0
113,$500 million to $1 billion (USD),State of Tennessee,"Oil, Gas, Energy & Utilities",TN,Government,Energy,chief data and analytics officer-20237,1965.0,4.1,909,1001 to 5000 Employees,0,1,115000.0
114,Unknown / Non-Applicable,Digital Dhara,Government,CA,Government,State & Regional Agencies,machine learning engineer,1796.0,3.6,245,10000+ Employees,0,1,115000.0
115,$5 to $10 billion (USD),Siemens,Business Services,KY,Company - Public,Consulting,gdc data catalog devops professional,1914.0,4.2,576,10000+ Employees,0,1,115000.0
116,$10+ billion (USD),World Services LLC,Manufacturing,Remote,Company - Public,Electrical & Electronic Manufacturing,data scientist,1843.0,4.1,860,10000+ Employees,0,1,115000.0
117,$5 to $10 billion (USD),Netflix,Information Technology,CA,Company - Public,Internet,data science manager,1997.0,4.7,803,51 to 200 Employees,0,1,115000.0
118,$5 to $10 billion (USD),Upwork,Information Technology,Remote,Company - Public,Internet,"data scientist, search and recommendation",1997.0,4.2,964,5001 to 10000 Employees,0,1,115000.0
119,$100 to $500 million (USD),Agile N2N Inc,Business Services,Remote,Company - Public,Staffing & Outsourcing,machine learning engineer,2014.0,4.1,1266,201 to 500 Employees,0,1,115000.0
120,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,1371,10000+ Employees,1,0,74880.0
121,$10+ billion (USD),Interview Query,Information Technology,Remote,Company - Public,Computer Hardware & Software,data science content developer,1975.0,4.4,1371,10000+ Employees,1,0,74880.0
122,$10+ billion (USD),Pacific Northwest National Laboratory,Manufacturing,WA,Company - Public,Transportation Equipment Manufacturing,data scientist,1957.0,3.9,853,10000+ Employees,1,0,74880.0
123,$500 million to $1 billion (USD),IntegrateUs Services,"Oil, Gas, Energy & Utilities",Remote,Government,Energy,data scientist,1965.0,4.1,1506,1001 to 5000 Employees,1,0,74880.0
124,$10+ billion (USD),Amer Technology In,Information Technology,TX,Company - Public,Computer Hardware & Software,data scientist,1975.0,4.4,840,10000+ Employees,1,0,74880.0
125,$10+ billion (USD),Cisco Systems,Insurance,CA,Company - Public,Insurance Agencies & Brokerages,data visualization engineer,1931.0,3.5,760,10000+ Employees,1,0,74880.0
126,$10+ billion (USD),Newsly Technologies,Information Technology,,Company - Private,Computer Hardware & Software,data scientist,1984.0,4.3,4414,10000+ Employees,1,0,74880.0
127,$10+ billion (USD),Spotify,Manufacturing,NY,Company - Public,Consumer Products Manufacturing,"data scientist, creation platform",1837.0,4.2,1240,10000+ Employees,1,0,74880.0
128,Unknown / Non-Applicable,Urbane Systems LLC,Information Technology,Remote,Company - Public,Internet,data engineer,2006.0,4.2,751,5001 to 10000 Employees,1,0,74880.0
129,$10+ billion (USD),Facebook,Manufacturing,Remote,Company - Public,Consumer Products Manufacturing,"data engineer, product analytics",1837.0,4.2,693,10000+ Employees,1,0,74880.0
130,$10+ billion (USD),Denken Solutions Inc,Information Technology,CA,Company - Public,Internet,data science (100% remote),2004.0,4.3,1300,10000+ Employees,1,0,74880.0
131,$25 to $50 million (USD),"PMCS Services, Inc",Information Technology,TX,Company - Private,IT Services,data scientist,2010.0,4.2,159,201 to 500 Employees,1,0,74880.0
132,$1 to $2 billion (USD),TransUnion,Finance,OR,Company - Public,Financial Analytics & Research,data engineer,2002.0,4.0,877,1001 to 5000 Employees,1,0,74880.0
133,$1 to $2 billion (USD),Albertsons Companies,Finance,CA,Company - Public,Financial Analytics & Research,payment data scientist,1968.0,4.0,828,5001 to 10000 Employees,1,0,74880.0
134,$10+ billion (USD),Spotify,Retail,NY,Company - Public,Grocery Stores & Supermarkets,"machine learning research scientist, algorithmic impact & responsibility",1939.0,3.4,1001,10000+ Employees,1,0,74880.0
135,Unknown / Non-Applicable,US Internal Revenue Service,Information Technology,VI,Company - Public,Internet,mathematical statistician (data scientist) or statistician (data scientist),2006.0,4.2,988,5001 to 10000 Employees,1,0,74880.0
136,Unknown / Non-Applicable,Salesforce,Government,MA,Government,Federal Agencies,fall 2021 co-op - data and automation analyst,1862.0,3.7,633,10000+ Employees,1,0,74880.0
137,$10+ billion (USD),Journey Foods,Information Technology,TX,Company - Public,Computer Hardware & Software,data scientist,1999.0,4.4,700,10000+ Employees,1,0,74880.0
138,$10+ billion (USD),Pinnacle Group,Information Technology,TN,Company - Public,Computer Hardware & Software,data engineer (remote 667-1),1975.0,4.4,1371,10000+ Employees,1,0,74880.0
139,$10+ billion (USD),Amer Technology In,Information Technology,TX,Company - Public,Computer Hardware & Software,data scientist,1975.0,4.4,840,10000+ Employees,1,0,74880.0
140,$10+ billion (USD),Pacific Northwest National Laboratory,Manufacturing,WA,Company - Public,Transportation Equipment Manufacturing,data scientist,1957.0,3.9,853,10000+ Employees,1,0,74880.0
141,$500 million to $1 billion (USD),Urbane Systems LLC,"Oil, Gas, Energy & Utilities",Remote,Government,Energy,data engineer,1965.0,4.1,1506,1001 to 5000 Employees,1,0,74880.0
142,$10+ billion (USD),US Internal Revenue Service,Insurance,VI,Company - Public,Insurance Agencies & Brokerages,mathematical statistician (data scientist) or statistician (data scientist),1931.0,3.5,760,10000+ Employees,1,0,74880.0
143,Unknown / Non-Applicable,Procter & Gamble,Government,OH,Government,Federal Agencies,data scientist masters,1862.0,3.7,633,10000+ Employees,1,0,74880.0
144,$10+ billion (USD),Okaya Inc,Manufacturing,Remote,Company - Public,Consumer Products Manufacturing,data scientist (ibm watson),1837.0,4.2,1240,10000+ Employees,1,0,74880.0
145,Unknown / Non-Applicable,Identical Soft,Information Technology,WA,Company - Public,Internet,data scientist,2006.0,4.2,751,5001 to 10000 Employees,1,0,74880.0
146,$10+ billion (USD),Procter & Gamble,Information Technology,OH,Company - Private,Computer Hardware & Software,data scientist phd,1984.0,4.3,4414,10000+ Employees,1,0,74880.0
147,$10+ billion (USD),Nestria,Manufacturing,Remote,Company - Public,Consumer Products Manufacturing,python & data science mentor,1837.0,4.2,693,10000+ Employees,1,0,74880.0
148,$10+ billion (USD),Spotify,Information Technology,NY,Company - Public,Internet,"machine learning research scientist, algorithmic impact & responsibility",2004.0,4.3,1300,10000+ Employees,1,0,74880.0
149,Unknown / Non-Applicable,Nestria,Information Technology,Remote,Company - Public,Internet,data science tutors,2006.0,4.2,988,5001 to 10000 Employees,1,0,74880.0
150,$25 to $50 million (USD),McKinsey & Company,Information Technology,MA,Company - Private,IT Services,junior data engineer - quantumblack,2010.0,4.2,159,201 to 500 Employees,1,0,74880.0
151,Unknown / Non-Applicable,DeepHow,Business Services,Remote,Company - Private,Consulting,data scientist,1926.0,4.4,573,10000+ Employees,1,0,74880.0
152,$10+ billion (USD),Microsoft,Information Technology,,Company - Public,Computer Hardware & Software,delivery data science ic3,1975.0,4.4,1371,10000+ Employees,1,0,74880.0
153,$10+ billion (USD),Interview Query,Information Technology,Remote,Company - Public,Computer Hardware & Software,data science content developer,1975.0,4.4,1371,10000+ Employees,1,0,74880.0
154,$10+ billion (USD),NSI Inc.,Information Technology,Remote,Company - Public,Computer Hardware & Software,data scientist,1975.0,4.4,840,10000+ Employees,1,0,74880.0
155,$10+ billion (USD),Amer Technology In,Manufacturing,TX,Company - Public,Transportation Equipment Manufacturing,data scientist,1957.0,3.9,853,10000+ Employees,1,0,74880.0
156,$10+ billion (USD),Pacific Northwest National Laboratory,Insurance,WA,Company - Public,Insurance Agencies & Brokerages,data scientist,1931.0,3.5,760,10000+ Employees,1,0,74880.0
157,$500 million to $1 billion (USD),Urbane Systems LLC,"Oil, Gas, Energy & Utilities",Remote,Government,Energy,data engineer,1965.0,4.1,1506,1001 to 5000 Employees,1,0,74880.0
158,Unknown / Non-Applicable,Spotify,Government,NY,Government,Federal Agencies,"data scientist, creation platform",1862.0,3.7,633,10000+ Employees,1,0,74880.0
159,Unknown / Non-Applicable,Newsly Technologies,Information Technology,,Company - Public,Internet,data scientist,2006.0,4.2,751,5001 to 10000 Employees,1,0,74880.0
160,$10+ billion (USD),Okaya Inc,Manufacturing,Remote,Company - Public,Consumer Products Manufacturing,data scientist (ibm watson),1837.0,4.2,1240,10000+ Employees,1,0,74880.0
161,Unknown / Non-Applicable,"PMCS Services, Inc",Information Technology,TX,Company - Public,Internet,data scientist,2006.0,4.2,988,5001 to 10000 Employees,1,0,74880.0
162,$10+ billion (USD),Halo Solutions,Information Technology,Remote,Company - Private,Computer Hardware & Software,data scientist,1984.0,4.3,4414,10000+ Employees,1,0,74880.0
163,$25 to $50 million (USD),DeepHow,Information Technology,Remote,Company - Private,IT Services,data scientist,2010.0,4.2,159,201 to 500 Employees,1,0,74880.0
164,$10+ billion (USD),BigRIO,Information Technology,,Company - Public,Internet,data scientist,2004.0,4.3,1300,10000+ Employees,1,0,74880.0
